nums[] lenght;InsertionSort;SelectionSort;HeapSort;QuickSort;RefAlgorithm;;;;;;;;;;;;
50;11280;830;2290;1820;320;;;;;;;;;;;;
100;9480;2470;3730;3740;200;;;;;;;;;;;;
150;10170;5200;5510;7580;280;;;;;;;;;;;;
200;10760;9480;7260;12140;360;;;;;;;;;;;;
250;10300;16490;13620;23770;580;;;;;;;;;;;;
300;14300;23940;17460;34500;610;;;;;;;;;;;;
350;18350;32860;19240;43580;720;;;;;;;;;;;;
400;20920;44110;22210;42770;640;;;;;;;;;;;;
450;4090;42710;16510;50570;690;;;;;;;;;;;;
500;5020;52220;17790;59450;720;;;;;;;;;;;;
550;5720;62810;21550;71290;840;;;;;;;;;;;;
600;6840;74360;21520;83830;840;;;;;;;;;;;;
650;8090;86720;23750;98600;920;;;;;;;;;;;;
700;9280;100000;24960;111720;970;;;;;;;;;;;;
750;10410;114040;26420;129990;1060;;;;;;;;;;;;
800;12020;130540;27970;146060;1160;;;;;;;;;;;;
850;13250;145220;30180;160560;1210;;;;;;;;;;;;
900;14540;162200;32050;182310;1250;;;;;;;;;;;;
950;16350;179970;33650;202060;1310;;;;;;;;;;;;
1000;17920;199740;36000;222590;1420;;;;;;;;;;;;
1050;19360;221880;38190;242390;1440;;;;;;;;;;;;
1100;21230;243520;40340;274360;1660;;;;;;;;;;;;
1150;23660;263930;40620;287540;1740;;;;;;;;;;;;
1200;25460;285460;43330;317440;1680;;;;;;;;;;;;
1250;27570;308930;44580;337160;1720;;;;;;;;;;;;
1300;29140;331840;46380;366280;1960;;;;;;;;;;;;
1350;31140;355090;48000;390700;2010;;;;;;;;;;;;
1400;34200;383870;50620;425420;2010;;;;;;;;;;;;
1450;36340;412670;52440;450780;2010;;;;;;;;;;;;
1500;39390;445320;53110;496860;2230;;;;;;;;;;;;
1550;40640;468490;54200;510140;2190;;;;;;;;;;;;
1600;43230;495380;55840;541230;2210;;;;;;;;;;;;
1650;45740;528330;59580;571890;2390;;;;;;;;;;;;
1700;48190;607710;88290;845950;3380;;;;;;;;;;;;
